country_Code,Country_number,Country,Currency Name,Currency_Code,Currency_Number
UGA,800,UGANDA,Uganda Shilling,UGX,800
UKR,804,UKRAINE,Hryvnia,UAH,980
ARE,784,UNITED ARAB EMIRATES (THE),UAE Dirham,AED,784
GBR,826,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826
UMI,581,UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,840
USA,840,UNITED STATES OF AMERICA (THE),US Dollar,USD,840
USA,840,UNITED STATES OF AMERICA (THE),US Dollar (Next day),USN,997
URY,858,URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI,940
URY,858,URUGUAY,Peso Uruguayo,UYU,858
UZB,860,UZBEKISTAN,Uzbekistan Sum,UZS,860
VUT,548,VANUATU,Vatu,VUV,548
VEN,862,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,937
VNM,704,VIET NAM,Dong,VND,704
VGB,92,VIRGIN ISLANDS (BRITISH),US Dollar,USD,840
VIR,850,VIRGIN ISLANDS (U.S.),US Dollar,USD,840
WLF,876,WALLIS AND FUTUNA,CFP Franc,XPF,953
ESH,732,WESTERN SAHARA,Moroccan Dirham,MAD,504
YEM,887,YEMEN,Yemeni Rial,YER,886
ZMB,894,ZAMBIA,Zambian Kwacha,ZMW,967
ZWE,716,ZIMBABWE,Zimbabwe Dollar,ZWL,932
ALA,248,ÅLAND ISLANDS,Euro,EUR,978
ATA,10,Antarctica,None,NON,0
